date,price,price_direction
2017-01-08,110.4405,down
2017-01-09,110.25550000000001,down
2017-01-10,112.6585,up
2017-01-11,114.17150000000001,up
2017-01-12,112.19550000000001,down
2017-01-13,114.49100000000001,up
2017-01-14,114.49100000000001,up
2017-01-15,114.227,down
2017-01-16,114.1635,down
2017-01-17,112.8965,down
2017-01-18,114.7125,up
2017-01-19,114.94149999999999,up
2017-01-20,114.6185,down
2017-01-21,114.6185,up
2017-01-22,113.81,down
2017-01-23,112.7875,down
2017-01-24,113.867,up
2017-01-25,113.2755,down
2017-01-26,114.4255,up
2017-01-27,115.143,up
2017-01-28,115.143,up
2017-01-29,114.65350000000001,down
2017-01-30,113.688,down
2017-01-31,112.7775,down
2017-02-01,117.46,up
2017-02-02,112.81450000000001,down
2017-02-03,114.356,up
2017-02-04,111.27449999999999,down
2017-02-05,111.9765,up
2017-02-06,110.39750000000001,down
2017-02-07,112.2445,up
2017-02-08,110.75800000000001,down
2017-02-09,110.25550000000001,down
2017-02-10,112.77600000000001,up
2017-02-11,114.018,up
2017-02-12,112.19550000000001,down
2017-02-13,113.6875,up
2017-02-14,114.289,up
2017-02-15,114.128,down
2017-02-16,113.32249999999999,down
2017-02-17,112.8065,down
2017-02-18,112.8065,up
2017-02-19,112.91900000000001,up
2017-02-20,113.27350000000001,up
2017-02-21,113.673,up
2017-02-22,113.41149999999999,down
2017-02-23,112.6985,down
2017-02-24,112.1425,down
2017-02-25,112.1425,up
2017-02-26,112.1825,up
2017-02-27,112.7475,up
2017-02-28,113.0975,up
2017-03-01,117.634,up
2017-03-02,112.56,down
2017-03-03,114.017,up
2017-03-04,110.6855,down
2017-03-05,112.80199999999999,up
2017-03-06,110.39750000000001,down
2017-03-07,113.38550000000001,up
2017-03-08,109.892,down
2017-03-09,109.809,down
2017-03-10,112.8545,up
2017-03-11,114.0705,up
2017-03-12,112.89349999999999,down
2017-03-13,114.917,up
2017-03-14,114.6575,down
2017-03-15,113.391,down
2017-03-16,113.351,down
2017-03-17,112.687,down
2017-03-18,112.687,up
2017-03-19,112.6805,down
2017-03-20,112.5635,down
2017-03-21,111.536,down
2017-03-22,111.3725,down
2017-03-23,110.99549999999999,down
2017-03-24,111.33,up
2017-03-25,111.33,up
2017-03-26,110.5555,down
2017-03-27,110.76599999999999,up
2017-03-28,111.2305,up
2017-03-29,111.15,down
2017-03-30,111.73949999999999,up
2017-03-31,111.3885,down
2017-04-01,117.1365,up
2017-04-02,112.56,down
2017-04-03,114.017,up
2017-04-04,110.8475,down
2017-04-05,112.54849999999999,up
2017-04-06,110.471,down
2017-04-07,112.96799999999999,up
2017-04-08,110.6815,down
2017-04-09,109.80799999999999,down
2017-04-10,112.821,up
2017-04-11,114.0705,up
2017-04-12,112.495,down
2017-04-13,109.1175,down
2017-04-14,108.618,down
2017-04-15,108.618,up
2017-04-16,108.312,down
2017-04-17,109.12899999999999,up
2017-04-18,108.54400000000001,down
2017-04-19,108.8315,up
2017-04-20,109.384,up
2017-04-21,109.11,down
2017-04-22,109.11,up
2017-04-23,110.02600000000001,up
2017-04-24,109.632,down
2017-04-25,111.079,up
2017-04-26,111.17699999999999,up
2017-04-27,111.2205,up
2017-04-28,111.518,up
2017-04-29,111.518,up
2017-04-30,111.313,down
2017-05-01,115.346,up
2017-05-02,112.649,down
2017-05-03,113.82,up
2017-05-04,110.39750000000001,down
2017-05-05,112.72300000000001,up
2017-05-06,110.39349999999999,down
2017-05-07,113.19999999999999,up
2017-05-08,110.6815,down
2017-05-09,108.608,down
2017-05-10,112.79050000000001,up
2017-05-11,114.17099999999999,up
2017-05-12,112.4695,down
2017-05-13,113.357,up
2017-05-14,113.268,down
2017-05-15,113.6465,up
2017-05-16,112.69149999999999,down
2017-05-17,111.065,down
2017-05-18,111.436,up
2017-05-19,111.2645,down
2017-05-20,111.2645,up
2017-05-21,111.2855,up
2017-05-22,110.906,down
2017-05-23,111.9615,up
2017-05-24,111.54249999999999,down
2017-05-25,111.7425,up
2017-05-26,111.3315,down
2017-05-27,111.3315,up
2017-05-28,111.2535,down
